%time,field.x,field.y,field.z,real->,field.x,field.y
1376085762899070000,4,8,0,,134.768325806,30
1376085762907750000,4,9,0,,134.131912231,29
1376085762920220000,3,9,0,,133.77897644,29
1376085762934890000,2,6,0,,132.970825195,28
1376085762944880000,2,6,0,,132.516265869,28
1376085762955790000,3,3,0,,131.658874512,27
1376085762966760000,3,3,0,,131.294281006,27
1376085762977450000,2,3,0,,130.501449585,27
1376085762987440000,0,4,0,,129.924758911,26
1376085762996750000,0,4,0,,129.572814941,26
1376085763005360000,1,3,0,,128.883972168,25
1376085763020260000,1,9,0,,128.212234497,25
1376085763032130000,2,8,0,,127.392364502,24
1376085763041220000,3,8,0,,126.862297058,24
1376085763055250000,12,7,0,,125.480819702,23
1376085763066420000,13,6,0,,124.724983215,22
1376085763075970000,12,11,0,,123.184593201,21
1376085763086200000,13,11,0,,122.307350159,21
1376085763094810000,14,11,0,,121.554824829,21
1376085763104450000,17,8,0,,120.706001282,20
1376085763114450000,18,8,0,,119.623596191,20
1376085763125800000,29,11,0,,118.642242432,19
1376085763140060000,30,10,0,,117.729286194,18
1376085763153230000,31,9,0,,116.404640198,17
1376085763164550000,18,7,0,,115.500030518,17
1376085763175810000,19,6,0,,114.749412537,16
1376085763187790000,30,8,0,,113.644088745,16
1376085763199870000,31,7,0,,112.057006836,15
1376085763211620000,32,7,0,,111.067138672,15
1376085763219740000,46,8,0,,109.827026367,14
1376085763233370000,47,8,0,,108.162666321,14
1376085763246900000,41,10,0,,106.981323242,14
1376085763260440000,43,9,0,,104.031784058,13
1376085763271520000,220,8,0,,102.325187683,12
1376085763284030000,218,8,0,,100.814750671,12
1376085763295350000,50,7,0,,99.5835494995,11
1376085763302740000,51,7,0,,98.3693313599,11
1376085763311230000,52,6,0,,97.2692718506,10
1376085763319620000,54,5,0,,95.1546936035,9
1376085763332610000,60,5,0,,93.0373458862,9
1376085763345130000,63,4,0,,90.4456558228,8
1376085763356880000,207,1,0,,87.5344848633,7
1376085763367090000,204,0,0,,84.898147583,6
1376085763378010000,204,0,0,,84.898147583,6
1376085763392000000,52,1,0,,-73.4007720947,3
1376085763400160000,50,0,0,,-75.8780899048,4
1376085763413820000,48,2,0,,-77.9156723022,4
1376085763427380000,46,1,0,,-79.6969833374,5
1376085763435360000,53,1,0,,-70.1230773926,9
1376085763448030000,51,1,0,,-72.0003967285,9
1376085763456450000,45,0,0,,-72.574508667,10
1376085763465110000,44,0,0,,-73.6818084717,10
1376085763473280000,60,16,0,,-57.2938079834,26
1376085763481080000,61,17,0,,-58.5573654175,27
1376085763493350000,60,17,0,,-59.4760551453,27
1376085763506070000,9,4,0,,-106.783035278,8
1376085763513910000,9,3,0,,-106.652519226,9
1376085763525360000,7,2,0,,-108.897041321,10
